Stars Count,Has Wiki,Has Pages,Has Projects,Owner Type,Forks_Bin,Open_Issues_Bin,Size(KB)_Bin,Created_Bin,Updated_Bin,Pushed_Bin,Domain_Blockchain,Domain_C++,Domain_Cybersecurity,Domain_Data Science,Domain_Deep Learning,Domain_DevOps,Domain_Go,Domain_Java,Domain_JavaScript,Domain_Machine Learning,Domain_Python,Domain_Rust,Domain_Web Development,Domain_iOS,Primary Language_Assembly,Primary Language_Astro,Primary Language_AutoIt,Primary Language_Batchfile,Primary Language_C,Primary Language_C#,Primary Language_C++,Primary Language_CSS,Primary Language_Clojure,Primary Language_Crystal,Primary Language_Cuda,Primary Language_Dart,Primary Language_Elixir,Primary Language_Go,Primary Language_Groovy,Primary Language_HCL,Primary Language_HTML,Primary Language_Handlebars,Primary Language_Haskell,Primary Language_Java,Primary Language_JavaScript,Primary Language_Jsonnet,Primary Language_Julia,Primary Language_Jupyter Notebook,Primary Language_Just,Primary Language_Kotlin,Primary Language_Lua,Primary Language_MDX,Primary Language_Markdown,Primary Language_Mojo,Primary Language_Mustache,Primary Language_Nim,Primary Language_OCaml,Primary Language_Objective-C,Primary Language_PHP,Primary Language_PowerShell,Primary Language_Pug,Primary Language_Python,Primary Language_R,Primary Language_Rich Text Format,Primary Language_Roff,Primary Language_Ruby,Primary Language_Rust,Primary Language_SCSS,Primary Language_Scala,Primary Language_Shell,Primary Language_Solidity,Primary Language_Swift,Primary Language_TeX,Primary Language_TypeScript,Primary Language_Unknown,Primary Language_Vim Script,Primary Language_Vue,Primary Language_Zig,License_Artistic License 2.0,"License_BSD 2-Clause ""Simplified"" License","License_BSD 3-Clause ""New"" or ""Revised"" License",License_Boost Software License 1.0,License_Creative Commons Attribution 4.0 International,License_Creative Commons Attribution Share Alike 4.0 International,License_Creative Commons Zero v1.0 Universal,License_Do What The F*ck You Want To Public License,License_European Union Public License 1.2,License_GNU Affero General Public License v3.0,License_GNU General Public License v2.0,License_GNU General Public License v3.0,License_GNU Lesser General Public License v2.1,License_GNU Lesser General Public License v3.0,License_ISC License,License_MIT License,License_Mozilla Public License 2.0,License_Other,License_The Unlicense,License_Unknown,License_zlib License,Default Branch_master,Default Branch_other
12.176267863037967,0,0,1,1,9,9,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11.968912570092584,1,0,1,1,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.932865306832705,1,1,1,0,9,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.494934595449308,1,0,1,1,9,9,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11.384591968418661,0,0,0,0,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11.342587813478948,1,1,0,1,9,1,9,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11.265181796787786,0,0,1,1,8,6,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11.252521278294575,1,0,1,0,9,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
11.246639520759176,1,0,1,0,9,4,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.240854240032595,0,0,0,1,9,5,8,5,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
